연구실명(한글),연구실명(영문),지도교수,연구내용,연구실위치,연락처,이메일,웹사이트,lab_id,pages_visited,chunks_created,chunks_saved,crawl_status,quality_score,crawl_timestamp,error
기계지능 연구실,Machine Intelligence Lab,https://sites.google.com/view/lmls-lab,,https://sites.google.com/view/lmls-lab,,,https://sites.google.com/view/lmls-lab,29,0,0,0,SUCCESS,0,2025-11-06T17:38:22.923960,
빅데이터 연구실,Big Data Lab,최동완,,하이테크센터 1413호,,dchoi@inha.ac.kr,http://bigdata.inha.ac.kr/,79,1,0,0,SUCCESS,0,2025-11-06T17:38:23.991498,
데이터 인텔리전스 연구실,Data Intelligence Lab,최원익,,하이테크센터 511호,032-860-8375,,http://dilab.inha.ac.kr,45,5,20,0,SUCCESS,0,2025-11-06T17:38:29.389469,
시스템집적회로 연구실,System IC Design Lab,강진구,"고속 인터페이스 VLSI 회로 설계, 고속 디지털 VLSI 회로 설계, FPGA 이용 디지털 시스템 설계, 초 미세 타이밍 제어 회로 설계, 인공 생체기능 VLSI 회로(의료+IT 융합)",하이테크센터 807호,,,http://sites.google.com/view/system-ic-design-lab/,16,5,10,0,SUCCESS,0,2025-11-06T17:38:40.437693,
반도체소자 연구실,Semiconductor Devices Lab,김형진,"CMOS Logic Devices, Memory Devices, Synaptic Devices and Neuromorphic System",,,,https://sites.google.com/view/isdlab/home,80,5,10,2,SUCCESS,0,2025-11-06T17:38:51.834994,
HCI 연구실,Human Computer Interaction Lab,권장우,"HCI(Human Computer Interaction), 지능형시스템, 로보틱스",하이테크센터 1313호,032-860-7443,,,48,0,0,0,FAILED,0,2025-11-06T17:38:51.835875,NO_WEBSITE
제어정보시스템 연구실,Control and Information System Lab,김광기,"제어시스템 이론 및 응용, 최정화 이론 및 응용, 멀티에이전트 시스템 제어",하이테크센터 616호,,,http://lics.inha.ac.kr,1,4,26,0,SUCCESS,0,2025-11-06T17:38:56.054050,
계측공학 연구실,Measurement Engineering Lab,김대유,"전기전자계측, ICT융복합, 광계측, 레이저광 의료기기, 생체의공학, 우주항공 의공학, 뇌공학(Visual Neuroscience)",하이테크센터 309호,,,http://mellab.inha.ac.kr,2,1,0,0,SUCCESS,0,2025-11-06T17:38:57.079016,
지능형 임베디드 시스템 연구실,Intelligent Embedded System Lab,김덕환,"Embedded System , BMI System, Robot Control",하이테크센터 813호,,,http://iesl.inha.ac.kr,19,5,10,0,SUCCESS,0,2025-11-06T17:39:06.808698,
전력전자 연구실,Power Electronics Lab,"김재국, 이기복","Power Conversion Circuit, Topology & Control for Home Appliances, EV, HVDC and so on.",하이테크센터 610호,032-860-7405,,https://ipel.modoo.at/,4,1,1,1,SUCCESS,0,2025-11-06T17:39:10.129473,
컴퓨터비전 연구실,Computer Vision Lab,김학일,"딥러닝 기반 바이오인식 기술, 딥러닝 기반 바이오 인식 영상 위/변조 탐지 및 생성 기술",항공 304호,032-860-7385,,http://vision.inha.ac.kr,36,1,0,0,SUCCESS,0,2025-11-06T17:39:11.177007,
위성항법 연구실,Satellite Navigation Lab,박관동,"자율주행용/유도무기용/정밀측량용 GNSS 개발, 과학기술용 GNSS 연구, KPS 한국형위성항법시스템 구축",4호관 310호,032-873-4310,,http://gps.inha.ac.kr/,81,1,0,0,SUCCESS,0,2025-11-06T17:39:12.209130,
RF 집적회로설계 연구실,,변경수,Intelligent Circuit and System Design Lab,하이테크센터 432호,032-860-7435,,http://mics.inha.ac.kr,39,1,0,0,SUCCESS,0,2025-11-06T17:39:13.426263,
회로 및 시스템 연구실,Circuits and Systems Lab,서영교,"Low Power Digital Circuit Design, Neuromorphic Computing, Cryptography and Security Hardware",하이테크센터 428호,,,https://sites.google.com/view/circuits-lab,40,5,10,0,SUCCESS,0,2025-11-06T17:39:22.929193,
컴퓨터비전 및 영상처리 연구실,Computer Vision and Image Processing Lab,송병철,"Computer vision, Image processing, Artificial intelligence",하이테크센터 713호,,,http://cvip.inha.ac.kr,22,2,2,0,SUCCESS,0,2025-11-06T17:39:25.682380,
자율항법 연구실,Autonomous Navigation Lab,원종훈,"GPS 위성항법시스템(수신기/신호/시스템설계 및 민간/국방응용), 센서퓨전(위성항법/관성센서/레이더/광학/통신센서 등), 자율주행자동차",하이테크센터 632호,032-860-7406,,http://autonav.inha.ac.kr/,9,5,13,0,SUCCESS,0,2025-11-06T17:39:35.843495,
디지털신호처리 연구실,Digital Signal Processing Lab,이보원,"Statistical Signal Processing, Multimodal Sensor Fusion for HCI, Audio and Speech Signal Processing, Automatic Speech Recognition, Spoken Language Understanding",하이테크센터 916호,,,http://dsp.inha.ac.kr,24,1,0,0,SUCCESS,0,2025-11-06T17:39:36.890598,
차세대 전자소자 연구실,Advanced Electronic Device Lab,이영택,"Electronic Devices (Transistors & Diodes), Memory & Logic gate Applications Advanced Electronic Devices, Development of Novel Device Fabrications",하이테크센터 908호,,,https://sites.google.com/view/advanced-edl/home,27,5,5,0,SUCCESS,0,2025-11-06T17:39:46.453822,
첨단수송 기계설계 및 제어 연구실,Advanced Vehicle Design & Control Lab,이철희,"VPD & Optimization, Tribology(Friction/Wear/Lubrication), Smart System Design & Control, Smart Mobility",2호관 380호,032-860-7311,,http://avdclab.inha.ac.kr/,82,1,0,0,SUCCESS,0,2025-11-06T17:39:47.618800,
디지털집적시스템 연구실,Digital Integrated System Lab,이한호,"Homomorphic Encryption Architecture Design, Hardware Cryptographic Algorithm & Architecture Design, Artificial Intelligent (AI) HW Design, High-Performance Forward Error Correction (FEC) Architectures, DSP and FEC Architectures for Communications",하이테크센터 517호,032-860-7449,,http://soc.inha.ac.kr,44,1,0,0,SUCCESS,0,2025-11-06T17:39:48.664363,
동작 지능 연구실,Artemis lab,장준우,"Intelligent Motion System, AI-driven modeling and control, Robotics",항공-309호,032-720-9087,,https://artemis-inha.github.io/,83,4,21,21,SUCCESS,0,2025-11-06T17:40:19.612650,
고체역학 연구실,Advanced Modeling and Computational Aided Engineering Lab,조종두,"재료역학(복합재료), 유한요소법, 전산응력해석, 열응력",2호관(북) 374B호,032-860-7321,,https://ismela2n374b.wixsite.com/website,84,2,154,154,SUCCESS,0,2025-11-06T17:44:26.277963,
에코-스마트 파워 연구실,Eco-Smart Power Lab,주현철,"연료전지, 차세대전지, 수소저장합금",(CFD Simulation Lab) 2호관(북) 265A호,(CFD Simulation Lab) 2호관(북) 265A호,,http://espl.inha.ac.kr/,85,1,0,0,SUCCESS,0,2025-11-06T17:44:27.593930,
에너지변환시스템 연구실,Electric Machines and Drives Lab,최길수,"전기자동차 모터 전자계 해석 및 최적 설계, 전기자동차 모터 열, 스트레스 해석",하이테크센터 630호,,,https://sites.google.com/view/emdlab,15,5,10,0,SUCCESS,0,2025-11-06T17:44:37.332300,
전력변환 연구실,Electric Power Conversion Laboratory,유지원,전력전자 및 전기자동차/UAM 구동시스템 연구,항공 304호,,,https://sites.google.com/view/iepcl,86,5,10,2,SUCCESS,0,2025-11-06T17:44:49.253906,
